timestamp,time_minutes,experiment_id,thermal_condition,payload_temperature,ambient_temperature,humidity,lid_status,dT_dt,dH_dt,predicted_temperature,predicted_temperature_linear,risk_score,risk_level,ESTR_minutes,ESTR_low_minutes,ESTR_high_minutes,ESTR_minutes_linear,ESTR_minutes_ground_truth,score_proximity,score_temp_trend,score_humidity_trend,score_lid,tau_estimated_s,estimator_status,actuator_state,ground_truth_payload_temperature,ground_truth_ambient_temperature,ground_truth_tau_s,data_type
2026-09-11 09:00:00,0.0,1,normal_stable_lid_closed,5.0625,25.0625,45.0,CLOSED,0.0,0.0,5.0925,5.0625,0.83,LOW,240.0,239.0,240.0,240.0,240.0,0.0208,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0,25.0,144000.0,SIMULATED
2026-09-11 09:00:10,0.16666666666666666,1,normal_stable_lid_closed,5.0,25.0,45.0,CLOSED,0.0,0.0,5.03,5.0,0.0,LOW,240.0,239.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0014,25.0008,144000.0,SIMULATED
2026-09-11 09:00:20,0.3333333333333333,1,normal_stable_lid_closed,5.0625,25.0625,45.0,CLOSED,0.0,0.0,5.0925,5.0625,0.83,LOW,240.0,239.0,240.0,240.0,240.0,0.0208,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0028,25.0017,144000.0,SIMULATED
2026-09-11 09:00:30,0.5,1,normal_stable_lid_closed,5.125,24.9375,45.0,CLOSED,0.0,0.0,5.1547,5.125,1.67,LOW,240.0,239.0,240.0,240.0,240.0,0.0417,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0042,25.0025,144000.0,SIMULATED
2026-09-11 09:00:40,0.6666666666666666,1,normal_stable_lid_closed,5.0,25.0,45.0,CLOSED,0.0,0.0,5.03,5.0,0.0,LOW,240.0,239.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0056,25.0033,144000.0,SIMULATED
2026-09-11 09:00:50,0.8333333333333334,1,normal_stable_lid_closed,5.0,25.125,45.0,CLOSED,0.0,0.0,5.0302,5.0,0.0,LOW,240.0,239.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0069,25.0042,144000.0,SIMULATED
2026-09-11 09:01:00,1.0,1,normal_stable_lid_closed,5.0625,25.0625,45.0,CLOSED,0.0,0.0,5.0925,5.0625,0.83,LOW,240.0,239.0,240.0,240.0,240.0,0.0208,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0083,25.005,144000.0,SIMULATED
2026-09-11 09:01:10,1.1666666666666667,1,normal_stable_lid_closed,5.0625,25.0,45.0,CLOSED,0.0,0.0,5.0924,5.0625,0.83,LOW,240.0,239.0,240.0,240.0,240.0,0.0208,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0097,25.0058,144000.0,SIMULATED
2026-09-11 09:01:20,1.3333333333333333,1,normal_stable_lid_closed,4.9375,25.0,45.0,CLOSED,0.0,0.0,4.9676,4.9375,0.0,LOW,240.0,239.0,240.0,240.0,240.0,0.0,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0111,25.0067,144000.0,SIMULATED
2026-09-11 09:01:30,1.5,1,normal_stable_lid_closed,5.0625,24.9375,44.0,CLOSED,0.0,0.0,5.0923,5.0625,0.83,LOW,240.0,239.0,240.0,240.0,240.0,0.0208,0.0,0.0,0.0,400000.0,WARMUP,IDLE,5.0125,25.0075,144000.0,SIMULATED
